"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node-0.jayan-qv41917.uwmadison744-f18-pg0.wisc.cloudlab.us",,,,"User:","jayan"
"Cmdline:","dstat --time --cpu --mem --load --output 2_nodes.csv 2 3000",,,,"Date:","15 Oct 2018 02:16:41 CDT"

"system","total cpu usage",,,,,,"memory usage",,,,"load avg",,
15-10 02:18:56,48.154,10.088,41.480,0.0,0.0,0.279,1.01630857216e+11,23732224.0,1733980160.0,97881743360.0,38.600,22.710,17.050
15-10 02:18:58,45.269,10.821,43.538,0.013,0.0,0.359,1.04177205248e+11,23732224.0,1733980160.0,95335395328.0,39.280,23.110,17.220
15-10 02:19:00,51.628,10.0,37.987,0.0,0.0,0.385,1.05670017024e+11,23732224.0,1734365184.0,93842198528.0,39.280,23.110,17.220
15-10 02:19:02,50.327,10.173,39.153,0.0,0.0,0.346,1.07758534656e+11,23740416.0,1734950912.0,91753086976.0,39.280,23.110,17.220
15-10 02:19:04,52.593,10.473,36.731,0.0,0.0,0.203,1.09878247424e+11,23740416.0,1735471104.0,89632854016.0,41.340,23.810,17.470
15-10 02:19:06,44.043,10.248,45.338,0.0,0.0,0.372,1.12428417024e+11,23748608.0,1736114176.0,87082033152.0,41.340,23.810,17.470
15-10 02:19:08,54.521,10.281,34.815,0.0,0.0,0.383,1.1420256256e+11,23748608.0,1736884224.0,85307117568.0,43.950,24.640,17.780
15-10 02:19:10,50.800,9.584,39.299,0.0,0.0,0.317,1.16349550592e+11,23748608.0,1736630272.0,83160383488.0,43.950,24.640,17.780
15-10 02:19:12,50.589,10.686,38.345,0.013,0.0,0.368,1.18144700416e+11,23756800.0,1737134080.0,81364721664.0,43.950,24.640,17.780
15-10 02:19:14,46.288,9.511,43.971,0.0,0.0,0.230,1.20337002496e+11,23756800.0,1737564160.0,79171989504.0,44.520,25.080,17.950
15-10 02:19:16,36.180,8.227,55.317,0.0,0.0,0.276,1.21727582208e+11,23764992.0,1737916416.0,77781049344.0,44.520,25.080,17.950
15-10 02:19:18,22.827,2.814,74.259,0.0,0.0,0.100,1.22033135616e+11,23764992.0,1738330112.0,77475082240.0,41.110,24.690,17.870
15-10 02:19:20,25.366,2.991,71.505,0.0,0.0,0.138,1.220056064e+11,23764992.0,1738330112.0,77502611456.0,41.110,24.690,17.870
15-10 02:19:22,24.756,3.027,72.079,0.0,0.0,0.138,1.21999781888e+11,23777280.0,1738698752.0,77508055040.0,41.110,24.690,17.870
15-10 02:19:24,26.000,4.450,69.374,0.0,0.0,0.176,1.22355392512e+11,23777280.0,1739173888.0,77151969280.0,44.070,25.580,18.190
15-10 02:19:26,26.502,3.405,69.955,0.0,0.0,0.138,1.22531938304e+11,23777280.0,1739636736.0,76974960640.0,44.070,25.580,18.190
15-10 02:19:28,26.716,4.147,68.975,0.0,0.0,0.162,1.2288018432e+11,23785472.0,1739923456.0,76626419712.0,45.020,26.080,18.390
15-10 02:19:30,26.798,2.979,70.123,0.0,0.0,0.100,1.23256754176e+11,23785472.0,1740394496.0,76249378816.0,45.020,26.080,18.390
15-10 02:19:32,22.198,4.268,73.483,0.0,0.0,0.050,1.23661430784e+11,23785472.0,1740967936.0,75844128768.0,45.020,26.080,18.390
15-10 02:19:34,17.734,5.753,76.388,0.0,0.0,0.125,1.24030160896e+11,23793664.0,1741332480.0,75475025920.0,41.580,25.680,18.310
15-10 02:19:36,22.021,3.276,74.603,0.013,0.0,0.088,1.23943424e+11,23793664.0,1741762560.0,75561332736.0,41.580,25.680,18.310
15-10 02:19:38,25.618,3.344,70.951,0.0,0.0,0.087,1.23911143424e+11,23793664.0,1741762560.0,75593613312.0,38.410,25.290,18.220
15-10 02:19:40,24.956,3.511,71.445,0.0,0.0,0.088,1.2386666496e+11,23801856.0,1742114816.0,75637731328.0,38.410,25.290,18.220
15-10 02:19:42,26.335,4.294,69.259,0.0,0.0,0.112,1.23840888832e+11,23801856.0,1742589952.0,75663032320.0,38.410,25.290,18.220
15-10 02:19:44,25.699,3.779,70.396,0.0,0.0,0.126,1.24046983168e+11,23801856.0,1742958592.0,75456569344.0,36.130,25.040,18.170
15-10 02:19:46,26.731,3.631,69.525,0.013,0.0,0.100,1.24315967488e+11,23810048.0,1743282176.0,75187253248.0,36.130,25.040,18.170
15-10 02:19:48,25.769,3.388,70.756,0.0,0.0,0.087,1.248177152e+11,23810048.0,1743802368.0,74684985344.0,36.920,25.380,18.320
15-10 02:19:50,23.647,4.019,72.284,0.0,0.0,0.050,1.24932087808e+11,23810048.0,1744306176.0,74570108928.0,36.920,25.380,18.320
15-10 02:19:52,16.195,2.655,81.050,0.0,0.0,0.100,1.25231263744e+11,23818240.0,1744633856.0,74270597120.0,36.920,25.380,18.320
15-10 02:19:54,21.196,2.733,75.934,0.0,0.0,0.138,1.25205848064e+11,23818240.0,1745022976.0,74295623680.0,34.530,25.080,18.260
15-10 02:19:56,26.094,3.101,70.693,0.0,0.0,0.113,1.25220376576e+11,23818240.0,1745793024.0,74280325120.0,34.530,25.080,18.260
15-10 02:19:58,24.787,2.782,72.318,0.0,0.0,0.113,1.25155958784e+11,23826432.0,1745575936.0,74344951808.0,31.920,24.700,18.180
15-10 02:20:00,27.074,4.462,68.350,0.0,0.0,0.113,1.2518313984e+11,23826432.0,1745973248.0,74317373440.0,31.920,24.700,18.180
15-10 02:20:02,26.562,3.375,69.962,0.0,0.0,0.101,1.25191344128e+11,23826432.0,1746472960.0,74308669440.0,31.920,24.700,18.180
15-10 02:20:04,26.648,4.354,68.898,0.0,0.0,0.100,1.2541001728e+11,23834624.0,1746890752.0,74089570304.0,29.520,24.320,18.090
15-10 02:20:06,25.629,4.144,70.089,0.013,0.0,0.125,1.25620871168e+11,23834624.0,1747267584.0,73878339584.0,29.520,24.320,18.090
15-10 02:20:08,21.023,3.222,75.705,0.0,0.0,0.050,1.25887381504e+11,23834624.0,1747853312.0,73611243520.0,27.560,24.0,18.020
15-10 02:20:10,17.383,2.519,79.985,0.0,0.0,0.113,1.26059606016e+11,23842816.0,1748574208.0,73438289920.0,27.560,24.0,18.020
15-10 02:20:12,23.631,3.327,72.928,0.0,0.0,0.113,1.25857009664e+11,23842816.0,1748574208.0,73640886272.0,27.560,24.0,18.020
15-10 02:20:14,25.025,2.189,72.699,0.0,0.0,0.088,1.25486833664e+11,23842816.0,1749045248.0,74010591232.0,26.550,23.850,18.0
15-10 02:20:16,26.798,5.560,67.516,0.0,0.0,0.126,1.25285445632e+11,23851008.0,1749753856.0,74211262464.0,26.550,23.850,18.0
15-10 02:20:18,26.446,3.705,69.750,0.0,0.0,0.100,1.25448704e+11,23851008.0,1750228992.0,74047528960.0,24.590,23.490,17.920
15-10 02:20:20,27.126,4.245,68.491,0.0,0.0,0.138,1.25454688256e+11,23851008.0,1750675456.0,74041098240.0,24.590,23.490,17.920
15-10 02:20:22,25.302,3.307,71.303,0.0,0.0,0.088,1.25665390592e+11,23859200.0,1751080960.0,73829982208.0,24.590,23.490,17.920
15-10 02:20:24,19.739,3.062,77.162,0.0,0.0,0.038,1.256884224e+11,23859200.0,1751556096.0,73806475264.0,22.780,23.130,17.830
15-10 02:20:26,18.095,3.421,78.333,0.0,0.0,0.150,1.26007365632e+11,23859200.0,1752064000.0,73487024128.0,22.780,23.130,17.830
15-10 02:20:28,23.040,3.256,73.616,0.0,0.0,0.088,1.2567164928e+11,23867392.0,1752834048.0,73821962240.0,21.110,22.780,17.740
15-10 02:20:30,24.402,2.895,72.565,0.0,0.0,0.138,1.25432680448e+11,23867392.0,1752612864.0,74061152256.0,21.110,22.780,17.740
15-10 02:20:32,26.603,4.021,69.201,0.0,0.0,0.175,1.25495488512e+11,23867392.0,1752952832.0,73998004224.0,21.110,22.780,17.740
15-10 02:20:34,26.550,3.550,69.737,0.0,0.0,0.163,1.2560525312e+11,23875584.0,1753485312.0,73887698944.0,19.820,22.480,17.680
15-10 02:20:36,27.414,4.709,67.713,0.0,0.0,0.163,1.25618044928e+11,23875584.0,1753829376.0,73874563072.0,19.820,22.480,17.680
15-10 02:20:38,26.578,3.150,70.109,0.0,0.0,0.163,1.258868736e+11,23875584.0,1754296320.0,73605267456.0,21.920,22.870,17.830
15-10 02:20:40,17.375,3.086,79.463,0.0,0.0,0.075,1.26117588992e+11,23883776.0,1754796032.0,73374044160.0,21.920,22.870,17.830
15-10 02:20:42,20.314,3.118,76.481,0.0,0.0,0.087,1.26233731072e+11,23883776.0,1755140096.0,73257558016.0,21.920,22.870,17.830
15-10 02:20:44,23.954,3.211,72.748,0.0,0.0,0.087,1.25783703552e+11,23883776.0,1755140096.0,73707585536.0,20.890,22.640,17.780
15-10 02:20:46,25.441,5.957,68.490,0.0,0.0,0.113,1.25673750528e+11,23891968.0,1755553792.0,73817116672.0,20.890,22.640,17.780
15-10 02:20:48,27.639,3.897,68.302,0.0,0.0,0.162,1.25670965248e+11,23891968.0,1756123136.0,73819332608.0,19.370,22.300,17.690
15-10 02:20:50,26.898,3.425,69.527,0.0,0.0,0.151,1.25664956416e+11,23891968.0,1756590080.0,73824874496.0,19.370,22.300,17.690
15-10 02:20:52,25.350,3.829,70.658,0.0,0.0,0.163,1.26000615424e+11,23900160.0,1757020160.0,73488777216.0,19.370,22.300,17.690
15-10 02:20:54,21.332,3.006,75.611,0.0,0.0,0.050,1.25985140736e+11,23900160.0,1757384704.0,73503887360.0,17.980,21.960,17.610
15-10 02:20:56,16.861,2.800,80.239,0.0,0.0,0.100,1.26364356608e+11,23900160.0,1757913088.0,73124143104.0,17.980,21.960,17.610
15-10 02:20:58,22.147,2.781,74.922,0.013,0.0,0.138,1.26028435456e+11,23908352.0,1758339072.0,73459630080.0,16.700,21.630,17.530
15-10 02:21:00,25.436,2.681,71.796,0.0,0.0,0.087,1.25490491392e+11,23908352.0,1758343168.0,73997570048.0,16.700,21.630,17.530
15-10 02:21:02,27.478,3.639,68.770,0.0,0.0,0.113,1.2550825984e+11,23908352.0,1758666752.0,73979478016.0,16.700,21.630,17.530
15-10 02:21:04,27.547,11.847,60.431,0.025,0.0,0.150,1.25506441216e+11,23916544.0,1759047680.0,73980907520.0,15.760,21.350,17.460
15-10 02:21:06,26.628,3.595,69.664,0.0,0.0,0.113,1.25301940224e+11,23916544.0,1759617024.0,74184839168.0,15.760,21.350,17.460
15-10 02:21:08,24.121,3.681,72.073,0.0,0.0,0.126,1.25630291968e+11,23916544.0,1760006144.0,73856098304.0,18.190,21.760,17.610
15-10 02:21:10,14.229,2.423,83.273,0.0,0.0,0.075,1.261104128e+11,23924736.0,1760735232.0,73375240192.0,18.190,21.760,17.610
15-10 02:21:12,23.502,2.971,73.352,0.0,0.0,0.175,1.26040031232e+11,23924736.0,1761116160.0,73445240832.0,18.190,21.760,17.610
15-10 02:21:14,24.915,3.268,71.666,0.0,0.0,0.150,1.25729480704e+11,23924736.0,1761116160.0,73755791360.0,17.450,21.550,17.570
15-10 02:21:16,25.418,2.907,71.536,0.0,0.0,0.138,1.25576032256e+11,23932928.0,1761558528.0,73908789248.0,17.450,21.550,17.570
15-10 02:21:18,27.302,4.043,68.518,0.0,0.0,0.137,1.2558434304e+11,23932928.0,1762009088.0,73900027904.0,16.210,21.230,17.480
15-10 02:21:20,27.006,3.794,69.075,0.0,0.0,0.125,1.25678149632e+11,23932928.0,1762603008.0,73805627392.0,16.210,21.230,17.480
15-10 02:21:22,25.754,3.910,70.211,0.0,0.0,0.126,1.261369344e+11,23941120.0,1763069952.0,73346367488.0,16.210,21.230,17.480
15-10 02:21:24,6.883,1.652,91.440,0.0,0.0,0.025,1.2616818688e+11,24014848.0,1763500032.0,73314611200.0,15.070,20.910,17.400
15-10 02:21:26,25.066,2.792,72.030,0.0,0.0,0.113,1.25785972736e+11,24014848.0,1763500032.0,73696825344.0,15.070,20.910,17.400
15-10 02:21:28,26.666,4.563,68.496,0.150,0.0,0.125,1.25942448128e+11,24014848.0,1763901440.0,73539948544.0,14.030,20.590,17.320
15-10 02:21:30,26.879,4.028,68.528,0.439,0.0,0.125,1.25772128256e+11,24031232.0,1764503552.0,73709649920.0,14.030,20.590,17.320
15-10 02:21:32,27.849,11.433,60.531,0.038,0.0,0.150,1.25871284224e+11,24031232.0,1765052416.0,73609945088.0,14.030,20.590,17.320
15-10 02:21:34,24.374,3.881,71.683,0.0,0.0,0.063,1.2604696576e+11,24039424.0,1765421056.0,73433886720.0,13.060,20.280,17.230
15-10 02:21:36,16.260,3.955,79.697,0.0,0.0,0.088,1.26364901376e+11,24039424.0,1765986304.0,73115385856.0,13.060,20.280,17.230
15-10 02:21:38,20.163,1.900,77.850,0.0,0.0,0.087,1.26231621632e+11,24039424.0,1766420480.0,73248231424.0,12.100,19.960,17.150
15-10 02:21:40,24.296,3.018,72.535,0.0,0.0,0.151,1.25865074688e+11,24047616.0,1766420480.0,73614770176.0,12.100,19.960,17.150
15-10 02:21:42,26.490,3.856,69.477,0.013,0.0,0.164,1.25864706048e+11,24047616.0,1766965248.0,73614594048.0,12.100,19.960,17.150
15-10 02:21:44,27.242,4.173,68.448,0.0,0.0,0.137,1.25954965504e+11,24047616.0,1767493632.0,73523806208.0,11.530,19.720,17.080
15-10 02:21:46,26.626,3.692,69.531,0.0,0.0,0.151,1.26119907328e+11,24055808.0,1767890944.0,73358458880.0,11.530,19.720,17.080
15-10 02:21:48,21.222,3.457,75.283,0.0,0.0,0.038,1.2639612928e+11,24055808.0,1768300544.0,73081827328.0,16.210,20.550,17.360
15-10 02:21:50,16.086,3.262,80.540,0.0,0.0,0.112,1.26634041344e+11,24059904.0,1768701952.0,72843509760.0,16.210,20.550,17.360
15-10 02:21:52,23.599,6.169,70.120,0.013,0.0,0.100,1.26298558464e+11,24068096.0,1769340928.0,73178345472.0,16.210,20.550,17.360
15-10 02:21:54,24.768,3.087,72.045,0.0,0.0,0.100,1.26004617216e+11,24068096.0,1769340928.0,73472286720.0,16.110,20.460,17.350
15-10 02:21:56,27.347,3.805,68.723,0.0,0.0,0.125,1.26094430208e+11,24068096.0,1769930752.0,73381883904.0,16.110,20.460,17.350
15-10 02:21:58,26.825,4.388,68.650,0.0,0.0,0.138,1.26098067456e+11,24076288.0,1770430464.0,73377738752.0,15.300,20.220,17.290
15-10 02:22:00,27.101,3.850,68.936,0.0,0.0,0.113,1.25869641728e+11,24076288.0,1770778624.0,73605816320.0,15.300,20.220,17.290
15-10 02:22:02,24.002,3.640,72.257,0.0,0.0,0.100,1.26114353152e+11,24076288.0,1771429888.0,73360453632.0,15.300,20.220,17.290
15-10 02:22:04,15.172,3.332,81.383,0.0,0.0,0.113,1.26034305024e+11,24084480.0,1771835392.0,73440088064.0,14.240,19.920,17.210
15-10 02:22:06,21.830,3.117,74.916,0.0,0.0,0.138,1.25824413696e+11,24084480.0,1772339200.0,73649475584.0,14.240,19.920,17.210
15-10 02:22:08,24.821,2.998,72.093,0.0,0.0,0.088,1.25495513088e+11,24084480.0,1772388352.0,73978327040.0,13.260,19.620,17.130
15-10 02:22:10,26.941,3.813,69.171,0.0,0.0,0.075,1.25477777408e+11,24092672.0,1772834816.0,73995608064.0,13.260,19.620,17.130
15-10 02:22:12,27.149,4.180,68.534,0.0,0.0,0.137,1.25541597184e+11,24096768.0,1773199360.0,73931419648.0,13.260,19.620,17.130
15-10 02:22:14,26.562,3.970,69.330,0.0,0.0,0.138,1.25544116224e+11,24104960.0,1773580288.0,73928511488.0,12.680,19.390,17.070
15-10 02:22:16,25.930,3.896,70.085,0.0,0.0,0.088,1.26018236416e+11,24104960.0,1774055424.0,73453916160.0,12.680,19.390,17.070
15-10 02:22:18,23.442,3.542,72.991,0.0,0.0,0.025,1.258145792e+11,24104960.0,1774592000.0,73657036800.0,15.750,19.920,17.250
15-10 02:22:20,16.844,3.650,79.393,0.0,0.0,0.113,1.2628205568e+11,24113152.0,1775112192.0,73189031936.0,15.750,19.920,17.250
15-10 02:22:22,21.754,2.343,75.752,0.0,0.0,0.150,1.25903855616e+11,24113152.0,1775513600.0,73566830592.0,15.750,19.920,17.250
15-10 02:22:24,24.803,2.510,72.549,0.012,0.0,0.125,1.25584101376e+11,24113152.0,1775513600.0,73886584832.0,15.610,19.820,17.230
15-10 02:22:26,27.320,3.802,68.689,0.0,0.0,0.189,1.25587255296e+11,24121344.0,1776025600.0,73882910720.0,15.610,19.820,17.230
15-10 02:22:28,26.828,3.863,69.234,0.0,0.0,0.075,1.25743960064e+11,24121344.0,1776607232.0,73725624320.0,14.520,19.520,17.150
15-10 02:22:30,26.379,3.689,69.831,0.0,0.0,0.101,1.25918154752e+11,24129536.0,1777082368.0,73550946304.0,14.520,19.520,17.150
15-10 02:22:32,25.491,3.422,71.024,0.0,0.0,0.063,1.26135095296e+11,24133632.0,1777565696.0,73333518336.0,14.520,19.520,17.150
15-10 02:22:34,19.813,3.836,76.289,0.0,0.0,0.062,1.26018985984e+11,24133632.0,1778094080.0,73449099264.0,13.510,19.230,17.070
15-10 02:22:36,18.975,3.014,77.923,0.0,0.0,0.088,1.26091538432e+11,24141824.0,1778454528.0,73376178176.0,13.510,19.230,17.070
15-10 02:22:38,23.012,2.608,74.291,0.0,0.0,0.088,1.25549400064e+11,24141824.0,1779224576.0,73917546496.0,12.590,18.940,16.990
15-10 02:22:40,25.769,3.087,71.070,0.0,0.0,0.075,1.25430816768e+11,24141824.0,1779048448.0,74036305920.0,12.590,18.940,16.990
15-10 02:22:42,26.464,3.537,69.798,0.013,0.0,0.188,1.25431820288e+11,24150016.0,1779617792.0,74034724864.0,12.590,18.940,16.990
15-10 02:22:44,27.101,4.703,68.034,0.0,0.0,0.163,1.2530112512e+11,24150016.0,1780371456.0,74164666368.0,12.220,18.760,16.940
